gene_short_name	q_value	estimate	total_transcripts
AKR1B3	2.87e-115	1.7946365	81073
MACC1	1.5e-22	1.3487314	1488
IFITM1	5.67e-124	1.3297819	164719
EVA1A	1.91e-12	1.182158	1073
SEMA6A	7.91e-12	1.1794674	1027
TSPAN1	7.16e-10	1.0999153	1286
SNAP25	1.63e-07	1.0331292	1015
PPFIA2	4.32e-10	1.0245568	1168
CNNM1	1.06e-09	1.0056028	1105
KLF12	2.33e-08	0.9933487	1142
MUC5B	9.66e-22	0.982278	9972
ADAMTS9	2.11e-26	0.9595889	3619
FOXD1	9.48e-08	0.9449222	1093
MYH10	3.49e-09	0.9410916	1191
9530026P05RIK	5.15e-08	0.9369745	1135
SMPDL3B	1.13e-13	0.9320816	1770
ESCO2	2.74e-25	0.9083536	4021
ALDH1A1	1.99e-57	0.9014211	12537
ETV1	2.75e-06	0.8592022	1172
CYP2U1	1.17e-05	0.8561302	1127
PSRC1	1.43e-05	0.852033	1165
PLVAP	1.85e-13	0.832006	2665
SLC17A6	3.3e-21	0.8200139	7323
H1F1	3.01e-07	0.8115743	1666
TACC1	1.91e-11	0.7889846	2461
ATCAYOS	0.006184311	0.7731798	1096
2310057J18RIK	0.0018659702	0.7724621	2503
SPATA1	3.23e-07	0.771698	1489
THSD7A	6.65e-14	0.7614509	3112
H1F5	5.24e-21	0.7451005	7798
MXD3	0.001702924	0.7423351	1173
DCN	0.003627078	0.7329831	6006
H2AC24	1.55e-18	0.7252992	7145
ADAM30	0.0004901036	0.7216825	1217
AU021092	0.001790805	0.7154977	1677
NEIL3	3.16e-09	0.7120589	2027
WNT5A	6.58e-25	0.7114035	5931
AURKB	4.5e-21	0.7068297	5923
GRB14	1.64e-14	0.703697	3426
NEURL1B	0.0006974198	0.7008377	1312
LIFR	1.58e-15	0.6996951	3690
TPPP3	0.000412414	0.6976747	3325
MUC5AC	0.04526395	0.6946937	7613
ANK2	1.26e-45	0.6945549	11119
TLE2	1.35e-08	0.6911092	2043
E2F7	4.35e-11	0.6900935	2713
PPARGC1A	2.09e-05	0.679306	2236
RAPGEF4	2.26e-11	0.6760904	2891
NRP1	4.25e-27	0.6752697	8230
H3C3	1.1e-06	0.6744736	2113
H2-K1	1.32e-103	0.6741	99897
GLCE	7.57e-104	0.6720902	29741
NA	0.0003518964	0.6684741	1509
H2AC8	1.15e-17	0.6660119	13787
CNTNAP2	5.39e-37	0.6656596	9251
PRC1	3.86e-32	0.6630715	16495
NPTXR	1.68e-07	0.662966	2203
DEPDC1A	4.4e-19	0.6566252	6967
CNKSR2	0.0003280475	0.6511884	1559
NUSAP1	7.2e-21	0.6500513	10183
ESPL1	0.0002977284	0.6497836	1410
TTK	0.002195346	0.644676	1333
DRAM1	0.02876944	0.6419611	1714
