COL6A1_3d	COL6A2_3d	COL6A1_10d	COL6A2_10d
ENH1_138	-18.70	-20.20	-16.17	24.37
ENH1_442	-20.90	-41.00	-17.38	10.82
ENH1_598	-25.90	-32.00	-23.70	-31.01
ENH1_762	-36.40	-42.80	-26.93	-32.93
ENH1_1054	-23.30	-30.80	-20.13	-14.83
ENH1_1194	-26.00	-22.10	-24.23	-26.90
ENH2_20	-25.90	-8.30	-16.62	-19.60
ENH2_164	-15.60	-16.50	-37.76	-48.18
ENH2_440	-20.20	-23.50	-40.83	-50.28
ENH2_698	-19.70	-15.70	-35.48	-41.46
ENH2_1157	-20.00	-34.00	-46.25	-62.18
ENH2_1387	-11.70	-9.00	-32.15	-29.87
ENH2_1523	-6.10	-15.60	-23.63	-21.12
