ensg	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Log10[padj]	Gene stable ID	Gene name
ENSG00000111341	153.9508283	4.186204415	0.420685336	9.950915936	2.50E-23	9.20E-22	21.036212173	ENSG00000111341	MGP
ENSG00000130203	43.79555993	4.038990068	0.550569236	7.3360257	2.20E-13	3.22E-12	11.492144128	ENSG00000130203	APOE
ENSG00000131981	139.8923088	3.758547478	0.318157466	11.81348195	3.33E-32	2.09E-30	29.679853714	ENSG00000131981	LGALS3
ENSG00000166681	196.8387361	2.293047361	0.248956416	9.210637736	3.24E-20	9.31E-19	18.031050319	ENSG00000166681	BEX3
ENSG00000196154	285.4036816	2.240171444	0.19891598	11.26189784	2.02E-29	1.09E-27	26.962573502	ENSG00000196154	S100A4
ENSG00000122862	509.2287285	0.515589587	0.35259636	1.462265767	0.143668395	0.220814707	0.6559720045	ENSG00000122862	SRGN
ENSG00000106333	303.6656707	0.442462288	0.24377279	1.815060199	0.069514659	0.125855898	0.9001264272	ENSG00000106333	PCOLCE
ENSG00000108821	133.5331674	0.316367821	0.275343137	1.148994756	0.250558143	0.342345755	0.4655350529	ENSG00000108821	COL1A1
ENSG00000158639	20.89622313	0.114082021	0.377844034	0.301928866	0.76270629	0.817534983	0.0874936544	ENSG00000158639	PAGE5
ENSG00000246228	356.7245653	0.030224435	0.142137411	0.212642366	0.831605924	0.873667522	0.0586538086	ENSG00000246228	CASC8
ENSG00000134986	1940.591324	-0.008360728	0.303015813	-0.027591721	0.977987785	0.983553401	0.0072020555	ENSG00000134986	NREP
ENSG00000166922	194.5210891	-0.126179269	0.371302996	-0.339828309	0.733985828	0.793960769	0.1002009563	ENSG00000166922	SCG5
ENSG00000051523	25.69153243	-0.987353816	0.532496662	-1.854197194	0.063710953	0.11768961	0.9292618763	ENSG00000051523	CYBA
ENSG00000106236	426.4276866	-3.063888002	0.265236716	-11.55152291	7.25E-31	4.25E-29	28.37161107	ENSG00000106236	NPTX2
ENSG00000158825	28.28908114	-3.566447354	0.425745569	-8.376945327	5.43E-17	1.16E-15	14.935542011	ENSG00000158825	CDA
ENSG00000142173	70.90199041	1.677289881	0.334606853	5.012718253	5.37E-07	3.51E-06	5.4546928835	ENSG00000142173	COL6A2
ENSG00000161960	362.138133	0.783531802	0.178137551	4.398465099	1.09E-05	5.75E-05	4.2403321553	ENSG00000161960	EIF4A1
ENSG00000106615	287.6064861	0.434590647	0.133759181	3.249052836	0.0011579	0.00399895	2.3980540259	ENSG00000106615	RHEB
ENSG00000170315	1227.018377	0.286075531	0.147171865	1.943819428	0.05191723	0.099963928	1.000156687	ENSG00000170315	UBB
ENSG00000106211	14.3918546	0.20565343	0.407741132	0.504372538	0.613999613	0.691958939	0.1599196759	ENSG00000106211	HSPB1
ENSG00000085662	1428.108827	-0.220041519	0.367486933	-0.598773722	0.549323788	0.633915438	0.1979686715	ENSG00000085662	AKR1B1
ENSG00000108561	783.4665472	-0.405365176	0.22496114	-1.80193422	0.071555756	0.128672458	0.8905144027	ENSG00000108561	C1QBP
ENSG00000102265	565.9743046	-0.513604676	0.401238585	-1.280048069	0.200528231	0.286972146	0.5421602546	ENSG00000102265	TIMP1
ENSG00000254166	3624.156294	-0.762104553	0.344939333	-2.209387217	0.027147719	0.059376192	1.2263876587	ENSG00000254166	CASC19
ENSG00000109193	66.06648698	-2.572916408	0.440438705	-5.841712769	5.17E-09	4.49E-08	7.347753659	ENSG00000109193	SULT1E1
ENSG00000169908	2104.556668	3.395410247	0.270384322	12.55771865	3.61E-36	2.85E-34	33.54515514	ENSG00000169908	TM4SF1
ENSG00000163359	287.2906296	2.869673776	0.254399711	11.28017702	1.64E-29	8.99E-28	27.046240308	ENSG00000163359	COL6A3
ENSG00000242265	3578.639264	2.3978656	0.194886929	12.30388111	8.63E-35	6.28E-33	32.202040356	ENSG00000242265	PEG10
ENSG00000109099	21.29168197	1.94175175	0.448669315	4.327801532	1.51E-05	7.75E-05	4.1106982975	ENSG00000109099	PMP22
ENSG00000246859	6.865383201	1.852816641	0.558595629	3.316919336	0.000910159	0.003222314	2.4918321418	ENSG00000246859	STARD4-AS1
ENSG00000183696	482.3265986	1.720740096	0.236041629	7.289985689	3.10E-13	4.47E-12	11.349692477	ENSG00000183696	UPP1
ENSG00000142156	7.275630698	1.669685775	0.515679801	3.237834351	0.001204407	0.004144143	2.382565267	ENSG00000142156	COL6A1
ENSG00000169372	416.5725881	0.435658214	0.299972524	1.452327059	0.146410687	0.224222235	0.6493213228	ENSG00000169372	CRADD
ENSG00000256235	253.6249095	0.379087111	0.23456699	1.616114492	0.106069561	0.174750819	0.7575807802	ENSG00000256235	SMIM3
ENSG00000188015	32.87302405	0.304941949	0.397638321	0.766882699	0.443151261	0.535927732	0.2708937695	ENSG00000188015	S100A3
ENSG00000107984	366.1068054	-0.11528809	0.329970261	-0.349389333	0.72679704	0.788073277	0.1034333989	ENSG00000107984	DKK1
ENSG00000177675	389.9771533	-0.859625309	0.185755342	-4.627728607	3.70E-06	2.11E-05	4.6757175447	ENSG00000177675	CD163L1
ENSG00000128656	163.6613164	-0.879334747	0.261507354	-3.362562209	0.000772227	0.002778767	2.5561478673	ENSG00000128656	CHN1
ENSG00000110063	134.0642369	-0.914533126	0.267881894	-3.413941544	0.000640303	0.002354004	2.6281928035	ENSG00000110063	DCPS
