GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	A0A0U1RQI7	KLF18	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0A1B0GTS1	HSFX4	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0A1B0GTS1	HSFX4	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0A1B0GWH4	HSFX3	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0A1B0GWH4	HSFX3	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0A1B0GWH4	HSFX3	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0A1W2PPF3	DUXB	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0A1W2PPF3	DUXB	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0A1W2PPK0	CPHXL2	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0A1W2PPM1	CPHXL	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0A1W2PQ73	ERFL	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0A1W2PQ73	ERFL	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0A1W2PRP0	FOXL3	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0A1W2PRP0	FOXL3	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0A2Z4LIS9	FOXO3B	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0A5F9ZHS7	NFILZ	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0AVK6	E2F8	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	F
UniProtKB	A0AVK6	E2F8	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0AVK6	E2F8	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A0AVK6	E2F8	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0AVK6	E2F8	GO:0001217	DNA-binding transcription repressor activity	F
UniProtKB	A0AVK6	E2F8	GO:0001217	DNA-binding transcription repressor activity	F
UniProtKB	A0AVK6	E2F8	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0PJY2	FEZF1	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	A0PJY2	FEZF1	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	F
UniProtKB	A1YPR0	ZBTB7C	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
UniProtKB	A2RRD8	ZNF320	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	F
