gene	chromosome	start	end	log2	depth	weight	probes
ENSG00000187634	chr1	925939	945148	-0.333338	99.3374	6.21879	9
ENSG00000187583	chr1	966529	979133	-0.374808	106.463	7.97661	11
ENSG00000187642	chr1	978880	998556	-0.715753	79.5152	5.28089	7
ENSG00000187608	chr1	1013981	1022464	0.338018	203.101	1.67055	3
LRG_1231	chr1	1013981	1022464	0.338018	203.101	1.67055	3
ENSG00000188157	chr1	1022198	1082987	-0.310587	101.835	14.8249	23
LRG_198	chr1	1022198	1082987	-0.310587	101.835	14.8249	23
ENSG00000131591	chr1	1082662	1142242	-0.377685	75.8826	6.50013	8
ENSG00000205231	chr1	1175629	1180342	-0.705089	69.759	2.01181	3
ENSG00000162571	chr1	1175629	1204238	-0.370495	110.837	6.42741	9
ENSG00000186891	chr1	1204031	1211834	-0.377001	64.4658	2.17913	4
ENSG00000184163	chr1	1242832	1255489	-0.329695	115.596	4.03471	5
ENSG00000162572	chr1	1285923	1293710	-0.266562	92.0416	6.67751	10
ENSG00000131584	chr1	1293561	1309853	-0.344404	109.637	14.3716	19
ENSG00000169972	chr1	1309451	1311926	-0.208292	117.684	3.77908	5
ENSG00000224051	chr1	1326908	1331538	-0.202962	127.519	1.46809	3
ENSG00000169962	chr1	1331343	1338185	-0.423997	79.2878	6.64724	10
ENSG00000107404	chr1	1337958	1353946	-0.23847	119.654	10.6226	13
ENSG00000162576	chr1	1353845	1373298	-0.367737	92.0361	5.06445	6
ENSG00000175756	chr1	1373798	1386728	0.323834	164.208	1.85161	3
ENSG00000242485	chr1	1402080	1418599	-0.216583	144.187	3.1779	4
ENSG00000179403	chr1	1437205	1450183	-0.342308	38.6109	2.38685	3
ENSG00000215915	chr1	1450683	1477352	-0.204672	149.599	9.24891	11
ENSG00000197530	chr1	1616505	1634627	-0.430449	75.9124	10.3954	14
ENSG00000189339	chr1	1668326	1700468	-0.203096	135.205	2.14455	4
ENSG00000227775	chr1	1725413	1738450	-0.600224	128.368	1.79568	4
ENSG00000215790	chr1	1725413	1752401	-0.630267	92.1227	2.50954	5
ENSG00000078369	chr1	1787328	1891310	-0.232452	114.796	8.0124	10
ENSG00000142609	chr1	1922284	2018921	-0.213771	132.856	18.7097	24
ENSG00000182873	chr1	2181928	2184700	-0.417778	137.829	3.69898	4
ENSG00000157933	chr1	2229007	2320880	-0.253074	67.4791	6.43459	7
ENSG00000116151	chr1	2324094	2395873	-0.3965	118.425	9.58669	13
ENSG00000142606	chr1	2590987	2628828	-0.242921	133.083	14.2753	17
ENSG00000215912	chr1	2641631	2783108	-0.568312	26.6279	2.31945	4
